index,ScomFactor1,ScomFactor2,ScapFactor1,ScapFactor2
0,-5.787148503316899,-0.10587508559343276,-6.104427668334326,0.7726229942905273
1,1.1771283873490537,0.5809989624540731,-0.005744951127805373,0.6759205261001449
2,3.110655662854685,1.1717198308494239,2.2544949262573493,0.37691057372166925
3,0.8737299985096917,3.581338260199429,7.592089060813041,4.066859114576931
4,-2.423764560556044,-1.0060669389586077,-2.6209470230189007,-1.8499907630988495
5,1.5272808459230758,-1.1787308749006105,-0.27778958159008654,-0.9974662864803427
6,4.7313425715839585,1.7374086323713809,6.363971874763538,2.581510647534074
7,0.2725838846045709,0.11191964948119623,1.0955958332320952,-0.857321290357725
8,-4.2995312896359055,2.510436161218419,-1.4064170350219087,4.082048183225057
9,1.0133666382749091,-1.3138286046527599,0.7616504237896357,-2.5402567881560243
10,3.6680490110821826,2.015030829590704,6.45176755816725,2.4456808450156
11,-6.008189013845529,-0.34355310185348936,-5.353968346669133,1.3110509726338642
12,1.3409594349815985,1.8547822422245586,4.115235852417192,0.5225371146804066
13,-2.6026017663111567,0.7087831966822813,-2.0036410760158994,1.3721450272027795
14,0.4751507344476757,0.6433426638029056,-0.11864183347718321,-2.2665635489223757
15,-2.6029463667444657,-0.49919965776761704,-1.7082931323778179,-2.2759281579717783
16,3.4045696850354874,0.9459360331210104,3.4337239066392797,1.1941147045136193
17,-1.1781060628155442,-2.933582334177097,1.1383826332048568,-2.4645756765591167
18,0.6131776318398777,0.4062261275378563,-1.682552484626725,3.3441205007651593
19,0.3845836938742808,-1.5518569335603627,2.933752560122956,-1.9087995824355186
20,-0.5373739572871017,-1.8974780578671544,-0.9587108739430185,-0.8588320718998909
21,2.7449882206180383,0.515659440032176,2.641559098580709,1.0939659105553257
22,5.741773430782385,2.564890925413224,3.974653318595361,0.31414508742804564
23,0.8101507766343321,1.030889720630843,0.5256217393394496,0.837155948668001
24,-4.723512200835673,1.375119629378881,-4.602845928351441,1.3483921291009595
25,2.3861801980325295,-0.5098528717646936,1.8083955458597583,0.029872369546362614
26,-0.9710614576003048,-1.9838695322184214,-1.8509845609231776,0.5858816624869547
27,0.03992884835940353,-1.1362894792869662,1.527078816106086,-0.30063702442706575
28,-7.448557304472248,1.4161756838783137,-7.2247756220243495,1.2515992647139844
29,3.5117735186666486,-0.08462999671229626,2.120836898797431,0.8150890042037107
30,3.8417291888872067,0.8933204909308431,3.6968776840058837,-0.7652963591067801
31,-2.214476125357119,0.870928279922641,0.10252315064604206,-0.9219087681784855
32,-9.523370886253502,2.2778217878547777,-7.464846032012441,1.0929105194631707
